row_type,target_frame_rate,game_latency,capture_latency,convert_latency,encode_latency,network_latency,decode_latency,display_latency,dropped,state,minRTT,maxRTT,gain,bitrate,ping,in_bitrate,in_pkts,in_qual,out_bitrate,out_pkts,out_qual,Event Technology,lte_mr_events,nr_mr_events,lte_ho_attempt,lte_ho_result,lte_ho_enb_type,lte_ho_freq_type,lte_ho_band_type,scg_mobility_attempt,scg_mobility_result,scg_mobility_type,menb_ho_attempt,menb_ho_result,menb_ho_type,lte_ho_category,nr_ho_category,time_since_start
target,60.0,16.12,2.81,0.03,11.97,32.32,1.62,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
bitrate_adapter,,,,,,,,,,2.0,51.0,162.0,0.75,22500.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
slow,,16.14,2.91,0.03,12.05,51.17,1.8,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,attempt,,modification,,,,,nsa_scgm,1.9287660000000002
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,,success,,,,,,,1.94731
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
socket_stats,,,,,,,,,,,,,,,56.0,26269.6,3852.2,100.0,71.7,72.4,100.0,,,,,,,,,,,,,,,,,2.0
slow,,16.15,2.88,0.03,11.81,52.68,1.53,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
bitrate_adapter,,,,,,,,,,2.0,51.0,142.0,0.75,16875.0,,,,,,,,,,,,,,,,,,,,,,,,2.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
target,60.0,16.16,2.97,0.04,11.99,32.55,1.54,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,4.524263
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,4.577424000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
bitrate_adapter,,,,,,,,,,2.0,51.0,364.0,0.75,12656.0,,,,,,,,,,,,,,,,,,,,,,,,5.0
slow,,16.1,2.96,0.04,11.97,124.83,2.41,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
bitrate_adapter,,,,,,,,,,2.0,51.0,205.0,0.75,9492.0,,,,,,,,,,,,,,,,,,,,,,,,5.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,5.304233
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,5.366106
target,60.0,16.12,2.95,0.04,11.9,29.37,1.35,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
socket_stats,,,,,,,,,,,,,,,60.0,11805.7,1523.1,99.1,89.1,72.8,100.0,,,,,,,,,,,,,,,,,7.0
bitrate_adapter,,,,,,,,,,2.0,51.0,73.0,1.25,11865.0,,,,,,,,,,,,,,,,,,,,,,,,9.0
socket_stats,,,,,,,,,,,,,,,60.0,8992.5,1103.5,100.0,54.7,56.4,100.0,,,,,,,,,,,,,,,,,12.0
bitrate_adapter,,,,,,,,,,2.0,52.0,73.0,1.25,14831.0,,,,,,,,,,,,,,,,,,,,,,,,13.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.000000000000002
bitrate_adapter,,,,,,,,,,2.0,52.0,78.0,1.25,18538.0,,,,,,,,,,,,,,,,,,,,,,,,17.0
socket_stats,,,,,,,,,,,,,,,69.0,12147.6,1487.1,100.0,70.6,64.0,100.0,,,,,,,,,,,,,,,,,17.0
slow,,16.1,2.96,0.04,12.06,34.9,1.61,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
target,60.0,16.09,2.97,0.03,12.05,34.31,1.39,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
bitrate_adapter,,,,,,,,,,2.0,52.0,72.0,1.25,23172.0,,,,,,,,,,,,,,,,,,,,,,,,21.0
socket_stats,,,,,,,,,,,,,,,61.0,16195.5,2152.0,100.0,65.7,62.4,100.0,,,,,,,,,,,,,,,,,22.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
bitrate_adapter,,,,,,,,,,2.0,49.0,69.0,1.25,28965.0,,,,,,,,,,,,,,,,,,,,,,,,25.0
slow,,16.13,2.94,0.04,12.0,34.61,1.4,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
slow,,16.13,2.96,0.03,12.08,34.95,1.4,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
socket_stats,,,,,,,,,,,,,,,55.0,20854.7,2941.8,100.0,73.4,70.2,100.0,,,,,,,,,,,,,,,,,27.0
slow,,16.14,2.97,0.04,12.1,34.35,1.65,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
