time_stamp(s),latency_send(ms),latency_receive(ms),jitter_send(ms),jitter_receive(ms),packet_loss_avg_send(%),packet_loss_max_send(%),packet_loss_avg_receive(%),packet_loss_max_receive(%),resolution_send,resolution_receive,FPS_send(fps),FPS_receive(fps)
0.041666666666666664,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
0.3333333333333333,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
0.625,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
0.9166666666666666,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
1.2083333333333333,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,12
1.5,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,12
1.7916666666666667,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,12
2.0833333333333335,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
2.375,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
2.6666666666666665,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
2.9583333333333335,1666,1587,38,11,73.3,88.7,0.0,0.0,640x360,320x180,15,11
3.25,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,15,11
3.5416666666666665,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,15,11
3.8333333333333335,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,15,11
4.125,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,17,12
4.416666666666667,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,17,12
4.708333333333333,395,1587,22,11,15.1,89.0,0.0,0.0,640x360,320x180,17,12
5.0,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,17,12
5.291666666666667,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,17,12
5.583333333333333,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,17,12
5.875,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,17,12
6.166666666666667,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
6.458333333333333,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
6.75,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
7.041666666666667,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
7.333333333333333,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
7.625,395,630,22,9,15.1,89.0,0.0,0.0,640x360,320x180,16,12
7.916666666666667,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,16,12
8.208333333333334,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,16,12
8.5,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,16,12
8.791666666666666,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,16,12
9.083333333333334,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,15,11
9.375,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,15,11
9.666666666666666,126,630,12,9,0.5,5.4,0.0,0.0,640x360,320x180,15,11
9.958333333333334,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,18,11
10.25,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,18,11
10.541666666666666,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,18,11
10.833333333333334,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,20,12
11.125,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,20,12
11.416666666666666,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,20,12
11.708333333333334,126,101,12,8,0.5,5.4,0.0,0.0,640x360,320x180,20,12
