HO,MR,RCH,FULL,Type,Tech,Band,Operator
0.025,0.07200000000000001,0.012,0.037,PCell,LTE,Low,VZW
0.016,0.053000000000000005,0.013,0.029,PCell,LTE,Low,VZW
0.062,0.056999999999999995,0.012,0.074,PCell,LTE,Low,VZW
0.028,0.076,0.019,0.046,PCell,LTE,Low,VZW
0.028,0.05500000000000001,0.017,0.045,PCell,LTE,Low,VZW
0.029,0.075,0.019,0.048,PCell,LTE,Low,VZW
0.018,0.035,0.019,0.037,PCell,LTE,Low,VZW
0.016,0.034999999999999996,0.01,0.026,PCell,LTE,Low,VZW
0.015,0.034,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.034,0.01,0.028,PCell,LTE,Low,VZW
0.015,0.042,0.01,0.024,PCell,LTE,Low,VZW
0.016,0.033,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.018,0.035,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.011,0.028,PCell,LTE,Low,VZW
0.017,0.009999999999999998,0.014,0.03,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.017,0.031,PCell,LTE,Low,VZW
0.014,0.06,0.013,0.026,PCell,LTE,Low,VZW
0.013,0.046,0.018,0.031,PCell,LTE,Low,VZW
0.013,0.066,0.018,0.03,PCell,LTE,Low,VZW
0.012,0.621,0.013,0.025,PCell,LTE,Low,VZW
0.013,0.108,0.014,0.027,PCell,LTE,Low,VZW
0.018,0.099,0.012,0.029,PCell,LTE,Low,VZW
0.015,0.04,0.016,0.031,PCell,LTE,Low,VZW
0.018,0.036000000000000004,0.02,0.037,PCell,LTE,Low,VZW
0.014,0.104,0.015,0.029,PCell,LTE,Low,VZW
0.057,0.08499999999999999,0.014,0.071,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.019,0.033,PCell,LTE,Low,VZW
0.019,0.036000000000000004,0.014,0.033,PCell,LTE,Low,VZW
0.014,0.041,0.019,0.032,PCell,LTE,Low,VZW
0.013,0.04,0.012,0.025,PCell,LTE,Low,VZW
0.02,0.036000000000000004,0.015,0.034,PCell,LTE,Low,VZW
0.014,0.42,0.014,0.028,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.011,0.028,PCell,LTE,Low,VZW
0.018,0.043,0.015,0.032,PCell,LTE,Low,VZW
0.018,0.065,0.018,0.036,PCell,LTE,Low,VZW
0.014,0.042,0.015,0.029,PCell,LTE,Low,VZW
0.014,0.039,0.014,0.027,PCell,LTE,Low,VZW
0.016,0.042,0.016,0.032,PCell,LTE,Low,VZW
0.014,0.066,0.017,0.031,PCell,LTE,Low,VZW
0.017,0.041999999999999996,0.018,0.034,PCell,LTE,Low,VZW
